frame.time,frame.len,frame.protocols,eth.src,eth.dst,ip.src,ip.dst,ip.flags,ip.ttl,ip.proto,ip.checksum,ip.tos,tcp.srcport,tcp.dstport,tcp.flags,tcp.window_size_value,tcp.window_size_scalefactor,tcp.checksum,tcp.options,tcp.pdu.size,udp.srcport,udp.dstport,label
"Jan 15, 2025 00:13:22.515920000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0x16ff,,,,,,,,,,123.0,35674.0,0
"Jan 15, 2025 00:14:21.008488000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xaa9d,,,,,,,,,,36844.0,53.0,0
"Jan 15, 2025 00:14:21.008510000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xaa9c,,,,,,,,,,36844.0,53.0,0
"Jan 15, 2025 00:14:21.014400000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x1554,,,,,,,,,,53.0,36844.0,0
"Jan 15, 2025 00:14:21.014418000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x1563,,,,,,,,,,53.0,36844.0,0
"Jan 15, 2025 00:14:21.019017000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xd2e2,,,,,,,,,,56209.0,53.0,0
"Jan 15, 2025 00:14:21.023339000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x1538,,,,,,,,,,53.0,56209.0,0
"Jan 15, 2025 00:14:22.521250000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x0108,,,,,,,,,,54059.0,53.0,0
"Jan 15, 2025 00:14:22.528730000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x103f,,,,,,,,,,53.0,54059.0,0
"Jan 15, 2025 00:14:22.528813000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0x0a08,,,,,,,,,,58683.0,123.0,0
"Jan 15, 2025 00:14:22.533263000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0x5bb6,,,,,,,,,,123.0,58683.0,0
"Jan 15, 2025 00:15:20.699172000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x69c8,,,,,,,,,,54766.0,53.0,0
"Jan 15, 2025 00:15:20.699201000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x69c7,,,,,,,,,,54766.0,53.0,0
"Jan 15, 2025 00:15:20.705332000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x79ca,,,,,,,,,,53.0,54766.0,0
"Jan 15, 2025 00:15:20.705351000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x79d9,,,,,,,,,,53.0,54766.0,0
"Jan 15, 2025 00:15:20.710705000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xe517,,,,,,,,,,47857.0,53.0,0
"Jan 15, 2025 00:15:20.715563000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x79ae,,,,,,,,,,53.0,47857.0,0
"Jan 15, 2025 00:15:22.537699000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xafb2,,,,,,,,,,35340.0,53.0,0
"Jan 15, 2025 00:15:22.543827000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x7919,,,,,,,,,,53.0,35340.0,0
"Jan 15, 2025 00:15:22.543923000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0xc4cb,,,,,,,,,,35139.0,123.0,0
"Jan 15, 2025 00:15:22.548629000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0xb0f1,,,,,,,,,,123.0,35139.0,0
"Jan 15, 2025 00:16:20.043310000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xc9cf,,,,,,,,,,54910.0,53.0,0
"Jan 15, 2025 00:16:20.043364000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xc9ce,,,,,,,,,,54910.0,53.0,0
"Jan 15, 2025 00:16:20.050650000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x454e,,,,,,,,,,53.0,54910.0,0
"Jan 15, 2025 00:16:20.050671000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x455d,,,,,,,,,,53.0,54910.0,0
"Jan 15, 2025 00:16:20.055463000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x998d,,,,,,,,,,35129.0,53.0,0
"Jan 15, 2025 00:16:20.061248000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x4531,,,,,,,,,,53.0,35129.0,0
"Jan 15, 2025 00:16:22.554189000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x6477,,,,,,,,,,34723.0,53.0,0
"Jan 15, 2025 00:16:22.563310000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x3e6d,,,,,,,,,,53.0,34723.0,0
"Jan 15, 2025 00:16:22.563404000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0xbaab,,,,,,,,,,38694.0,123.0,0
"Jan 15, 2025 00:16:22.569178000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0xa98d,,,,,,,,,,123.0,38694.0,0
"Jan 15, 2025 00:17:19.382083000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xfa66,,,,,,,,,,43488.0,53.0,0
"Jan 15, 2025 00:17:19.382126000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xfa65,,,,,,,,,,43488.0,53.0,0
"Jan 15, 2025 00:17:19.390145000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x2b2d,,,,,,,,,,53.0,43488.0,0
"Jan 15, 2025 00:17:19.390177000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x2b3c,,,,,,,,,,53.0,43488.0,0
"Jan 15, 2025 00:17:19.395683000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x605a,,,,,,,,,,47804.0,53.0,0
"Jan 15, 2025 00:17:19.401014000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x2b0b,,,,,,,,,,53.0,47804.0,0
"Jan 15, 2025 00:17:22.573331000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x8c34,,,,,,,,,,57542.0,53.0,0
"Jan 15, 2025 00:17:22.579517000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x2aae,,,,,,,,,,53.0,57542.0,0
"Jan 15, 2025 00:17:22.579605000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0x47d5,,,,,,,,,,59787.0,123.0,0
"Jan 15, 2025 00:17:22.584788000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0xcb1e,,,,,,,,,,123.0,59787.0,0
"Jan 15, 2025 00:18:18.166271000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xc182,,,,,,,,,,56820.0,53.0,0
"Jan 15, 2025 00:18:18.166296000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xc181,,,,,,,,,,56820.0,53.0,0
"Jan 15, 2025 00:18:18.172002000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x123b,,,,,,,,,,53.0,56820.0,0
"Jan 15, 2025 00:18:18.172021000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x124a,,,,,,,,,,53.0,56820.0,0
"Jan 15, 2025 00:18:18.177116000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xd17a,,,,,,,,,,50948.0,53.0,0
"Jan 15, 2025 00:18:18.182316000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x121c,,,,,,,,,,53.0,50948.0,0
"Jan 15, 2025 00:18:22.589564000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x6f9e,,,,,,,,,,38919.0,53.0,0
"Jan 15, 2025 00:18:22.596754000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x0ca2,,,,,,,,,,53.0,38919.0,0
"Jan 15, 2025 00:18:22.596861000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0x42b3,,,,,,,,,,52173.0,123.0,0
"Jan 15, 2025 00:18:22.602441000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0xb361,,,,,,,,,,123.0,52173.0,0
"Jan 15, 2025 00:19:17.489696000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xba30,,,,,,,,,,36442.0,53.0,0
"Jan 15, 2025 00:19:17.489730000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0xba2f,,,,,,,,,,36442.0,53.0,0
"Jan 15, 2025 00:19:17.497051000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x9059,,,,,,,,,,53.0,36442.0,0
"Jan 15, 2025 00:19:17.497073000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x9068,,,,,,,,,,53.0,36442.0,0
"Jan 15, 2025 00:19:17.502899000 India Standard Time",84,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x8f86,,,,,,,,,,51834.0,53.0,0
"Jan 15, 2025 00:19:17.508305000 India Standard Time",114,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x9041,,,,,,,,,,53.0,51834.0,0
"Jan 15, 2025 00:19:22.606944000 India Standard Time",67,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x051f,,,,,,,,,,36165.0,53.0,0
"Jan 15, 2025 00:19:22.614037000 India Standard Time",83,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x8e82,,,,,,,,,,53.0,36165.0,0
"Jan 15, 2025 00:19:22.614139000 India Standard Time",90,eth:ethertype:ip:udp:ntp,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.3,0x02,64.0,17.0,0xa2f0,,,,,,,,,,47198.0,123.0,0
"Jan 15, 2025 00:19:22.620277000 India Standard Time",90,eth:ethertype:ip:udp:ntp,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.3,192.168.18.17,0x02,61.0,17.0,0xfd2c,,,,,,,,,,123.0,47198.0,0
"Jan 15, 2025 00:19:27.893490000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x3d47,,,,,,,,,,51398.0,53.0,0
"Jan 15, 2025 00:19:27.893511000 India Standard Time",76,eth:ethertype:ip:udp:dns,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,192.168.18.17,192.168.0.2,0x02,64.0,17.0,0x3d46,,,,,,,,,,51398.0,53.0,0
"Jan 15, 2025 00:19:27.899457000 India Standard Time",92,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x80b2,,,,,,,,,,53.0,51398.0,0
"Jan 15, 2025 00:19:27.899495000 India Standard Time",76,eth:ethertype:ip:udp:dns,0c:6e:9c:16:00:00,02:42:52:d7:fa:00,192.168.0.2,192.168.18.17,0x02,61.0,17.0,0x80c1,,,,,,,,,,53.0,51398.0,0
